,movies_titles,directeur,scenaristes,pays,vedettes,synopsis,notes,budget
0,Evangelion: 1.0 You Are (Not) Alone,"Masayuki, Kazuya Tsurumaki, Hideaki Anno","Hideaki Anno (screenplay), Yoshiki Sakurai (screenplay cooperation)",Japan,"Megumi Ogata, Megumi Hayashibara, Kotono Mitsuishi, Yuriko Yamaguchi",The fate of the world is threatened by seemingly monstrous entities known as Angels. NERV is an organisation set up to counter this threat and it is up to young pilots to protect Earth but exactly what are the real motives behind NERV?,7.7,N/A
1,A Nightmare on Elm Street,Wes Craven,Wes Craven,USA,"John Saxon, Ronee Blakley, Heather Langenkamp, Amanda Wyss","On Elm Street, Nancy Thompson and a group of her friends including Tina Gray, Rod Lane and Glen Lantz are being tormented by a clawed killer in their dreams named Freddy Krueger. Nancy must think quickly, as Freddy tries to pick off his victims one by one. When he has you in your sleep, who is there to save you?",7.5,N/A
2,Terminator 2: Judgment Day,James Cameron,"James Cameron, William Wisher",USA,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick","Over 10 years have passed since the first cyborg called The Terminator tried to kill Sarah Connor and her unborn son, John Connor. John Connor, the future leader of the human resistance, is now a healthy young boy. However another Terminator is sent back through time called the T-1000, which is more advanced and more powerful than its predecessor. The Mission: to kill John Connor when he's still a child. However, Sarah and John do not have to face this threat of a Terminator alone. Another Terminator is also sent back through time. The mission: to protect John and Sarah Connor at all costs. The battle for tomorrow has begun...",8.5,"$198,116,802"
3,Awakenings,Penny Marshall,"Oliver Sacks (book), Steven Zaillian (screenplay)",USA,"Robert De Niro, Robin Williams, Julie Kavner, Ruth Nelson","1969. Dr. Malcolm Sayer is hired as a clinical physician at a psychiatric hospital in the Bronx, despite he only having a research background. The job is not ideal on his side as he has difficulties relating to people which is the reason he has focused on research projects not involving human subjects, while the hospital hires him somewhat out of desperation in not finding anyone else with the qualifications who wants the job. Most of his patients are in a semi-catatonic state and are housed in what some of the orderlies coin the ""garden"" ward, where all they can do for the patients is water and feed them. He notices that some of the patients, despite their generally catatonic state, respond in unusual ways to certain stimuli. In doing some research, he also finds that some common bonds between these patients are that they suffered from encephalitis in the 1920s or 1930s, and that their physical states are like they have Parkinson's disease frozen in time. As such, he is able to convince, albeit reluctantly, his skeptical boss, Dr. Kaufman, to administer an expensive experimental drug therapy on only one patient with family consent. That patient is forty-one year old Leonard Lowe, who has been in his current state since he was eleven years old, and who has been supported by his loving mother through all these years. As the drug therapy ""awakens"" Leonard, there are several issues that come into play. Malcolm has to try and convince Kaufman and the hospital administration to extend the therapy to the other patients. Despite not knowing the long term effects, Leonard, who was aware of his surroundings through his catatonic state, may have mixed emotions about his situation, wanting both to be treated as human being and an experiment guinea pig to ensure that what is happening benefits him and others in the long run. Mrs. Lowe may be unprepared for the new Leonard, she expecting who she remembers as a sweet eleven year old boy. Through all these issues, what may be the most illuminating issue for Malcolm is the need to stimulate the human spirit, including his own in dealing with people around him.",7.8,N/A
4,Iron Man 3,Shane Black,"Drew Pearce (screenplay by), Shane Black (screenplay by), Stan Lee (based on the Marvel comic book by), Don Heck (based on the Marvel comic book by), Larry Lieber (based on the Marvel comic book by), Jack Kirby (based on the Marvel comic book by), Warren Ellis (based on the ""Extremis"" mini-series written by), Adi Granov (based on the ""Extremis"" mini-series illustrated by)",USA,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Guy Pearce","Marvel's ""Iron Man 3"" pits brash-but-brilliant industrialist Tony Stark/Iron Man against an enemy whose reach knows no bounds. When Stark finds his personal world destroyed at his enemy's hands, he embarks on a harrowing quest to find those responsible. This journey, at every turn, will test his mettle. With his back against the wall, Stark is left to survive by his own devices, relying on his ingenuity and instincts to protect those closest to him. As he fights his way back, Stark discovers the answer to the question that has secretly haunted him: does the man make the suit or does the suit make the man?",7.2,"$408,992,272"
5,A League of Their Own,Penny Marshall,"Kim Wilson (story), Kelly Candaele (story), Lowell Ganz (screenplay), Babaloo Mandel (screenplay)",USA,"Tom Hanks, Geena Davis, Lori Petty, Madonna","During World War II when all the men are fighting the war, most of the jobs that were left vacant because of their absence were filled in by women. The owners of the baseball teams, not wanting baseball to be dormant indefinitely, decide to form teams with women. So scouts are sent all over the country to find women players. One of the scouts, passes through Oregon and finds a woman named Dottie Hinson, who is incredible. He approaches her and asks her to try out but she's not interested. However, her sister, Kit who wants to get out of Oregon, offers to go. But he agrees only if she can get her sister to go. When they try out, they're chosen and are on the same team. Jimmy Dugan, a former player, who's now a drunk, is the team manager. But he doesn't feel as if it's a real job so he drinks and is not exactly doing his job. So Dottie steps up. After a few months when it appears the girls are not garnering any attention, the league is facing closure till Dottie does something that grabs attention. And it isn't long Dottie is the star of the team and Kit feels like she's living in her shadow.",7.3,N/A
6,4.3.2.1.,"Noel Clarke, Mark Davis",Noel Clarke,UK,"Ophelia Lovibond, Shanika Warren-Markland, Emma Roberts, Tamsin Egerton","While Jo (Roberts) is chained down in a dead end supermarket job, her friends are all out on their own separate adventures: Cassandra (Egerton) is jetting off to New York to meet her Internet boyfriend; Kerrys (Warren-Markland) is on a one woman crusade fighting for female liberation and Shannon (Lovibond) is on a one way trip to meet her maker. But a chance encounter with some diamond thieves sends their separate worlds on a collision course with not only each other, but fate itself. These 4 girls are about to have 3 days they will never forget, spanning to 2 cities. That is ... if they survive.",5.8,N/A
7,A Bronx Tale,Robert De Niro,"Chazz Palminteri (play), Chazz Palminteri (screenplay)",USA,"Robert De Niro, Chazz Palminteri, Lillo Brancato, Francis Capra","Gangster Sonny is the big man in the Bronx neighborhood of an Italian small boy named Calogero. A shooting witnessed by the boy (nicknamed C) is the starting point of a lasting bond between the gangster and the boy. Father (bus driver Lorenzo), however, disapproves. C grows up under the wing of both men, torn between his own natural honesty and his fascination with Sonny. C's neighborhood cronies get involved in theft, use of guns, and racial fights. When C falls for an African American girl, things don't get any easier. C's leap to manhood is marked by tragedy, but also by his recognition of the many faces of love.",7.8,N/A
8,Fausto 5.0,"Àlex Ollé, Isidro Ortiz, Carlus Padrissa",Fernando León de Aranoa,Spain,"Miguel Ángel Solá, Eduard Fernández, Najwa Nimri, Rakel González-Huedo","On his way to a medical convention, Dr Fausto runs into a man who claims the Doctor removed his stomach eight years ago in a surgical operation. Against all odds, he is still alive. The man turns up repeatedly and promises Fausto to make all his wishes come true. Reality starts dissolving and Fausto begins to loose control.",6.2,N/A
9,Angels in the Outfield,William Dear,"Dorothy Kingsley, George Wells, Richard Conlin, Dorothy Kingsley (screenplay), George Wells (screenplay), Holly Goldberg Sloan (screenplay)",USA,"Danny Glover, Brenda Fricker, Tony Danza, Christopher Lloyd","Roger, who has lost his mother, is living separated from his father. As he and his friend J.P. are one of the biggest fans of the Los Angeles baseball team he has got only two dreams: living together with a real family and let LA win the championship. As he is praying for these two things to happen some angels show up in order to help him - but he is the only one to see them and believe in them. Fortunately the coach of the baseball team sees his abilities and so LA has a run to the finals...",6.2,N/A
10,Big Hero 6,"Don Hall, Chris Williams","Jordan Roberts (screenplay by), Robert L. Baird (screenplay by), Daniel Gerson (screenplay by), Man of Action (Big Hero 6 team and characters created by), Steven T. Seagle (characters), Duncan Rouleau (characters)",USA,"Scott Adsit, Ryan Potter, Daniel Henney, T.J. Miller","When a devastating event befalls the city of San Fransokyo and catapults Hiro into the midst of danger, he turns to Baymax and his close friends adrenaline junkie Go Go Tomago, neatnik Wasabi, chemistry whiz Honey Lemon and fanboy Fred. Determined to uncover the mystery, Hiro transforms his friends into a band of high-tech heroes called ""Big Hero 6.""",7.8,N/A
11,A Time to Kill,Joel Schumacher,"John Grisham (novel), Akiva Goldsman (screenplay)",USA,"Matthew McConaughey, Sandra Bullock, Samuel L. Jackson, Kevin Spacey","In Canton, Mississippi, 10-year-old Tonya Hailey is viciously brutalized by two white racist rednecks -- James Louis ""Pete"" Willard and Billy Ray Cobb. Almost immediately after Tonya is found and rushed to a hospital, Pete and Billy Ray are found at a roadside bar, where they had been bragging about what they did to Tonya. Tonya's understandably distraught and enraged father, Carl Lee Hailey, remembers a case from a year ago, when four white men raped an African-American girl in a nearby town, and got acquitted. Carl is determined to not let that happen in this case. While deputy Dwayne Powell Looney is escorting Pete and Billy Ray up a flight of stairs to a court room, Carl emerges from the building's basement with an assault rifle, and he kills Pete and Billy Ray for what they did to Tonya. Carl is later arrested at his house by African-American sheriff Ozzie Walls, and Carl is scheduled to be placed on trial. Despite the efforts of the NAACP and local African-American leaders to persuade Carl to choose some of their high-powered attorneys, Carl wants to be represented by his friend Jake Tyler Brigance, who has a wife named Carla and a daughter named Hannah. Presiding over the trial is white judge Omar Noose, and the prosecution attorney is Rufus Buckley, who would like nothing more than to win the case and swim in the publicity that a win would generate, because Rufus realizes that a murder conviction could help him gain higher office. Helping Jake on the case are his former law professor Lucien Wilbanks, fellow attorney Harry Rex Vonner, and law student Ellen Roark. Ellen has had experience with death penalty cases, and that's exactly what Rufus may be seeking. To start things off, Noose denies bail and denies Jake's petition for a change of venue. Carl has also been fired from his job. Billy Ray Cobb's brother Freddie Lee Cobb wants revenge on Carl, so Freddy gets the help of the Mississippi branch of the KKK, led by Mississippi grand dragon Stump Sisson. Carl's wife Gwen tells Carl that a doctor has said that because of Pete and Billy Ray, Tonya's reproductive organs are damaged enough to where she won't be able to have kids when she grows up. That night, a KKK member is found trying to plant a bomb under Jake's porch. Jake's secretary Ethel Twitty and her husband Bud are also attacked by the KKK. Still, Jake, Harry, Lucien, and Ellen continue to help Carl. On the day the trial begins, there is a riot outside the court building between the KKK and the area's African-American residents, and Stump Sisson is killed by a molotov cocktail that was dropped from a roof by one of Carl's sons, who was not seen dropping it. Freddy and the KKK start burning crosses throughout Canton, and one of the crosses burns Jake's house down while Jake and his family are not home. As a result, the National Guard is called to Canton to keep the peace during the trial. But Freddy is not about to let that stop him. While Freddy continues his efforts to get revenge on Carl for Billy Ray's death, Carl's attorneys put everything they've got into Carl's defense.",7.5,N/A
12,Furious 7,James Wan,"Chris Morgan, Gary Scott Thompson (characters)","USA, China, Japan, Canada, United Arab Emirates","Vin Diesel, Paul Walker, Jason Statham, Michelle Rodriguez","Dominic and his crew thought they'd left the criminal mercenary life behind. They'd defeated international terrorist Owen Shaw and went their separate ways. But now, Shaw's brother, Deckard Shaw, is out killing the crew one by one for revenge. Worse, a Somalian terrorist called Jakarde and a shady government official called ""Mr. Nobody"" are both competing to steal a computer terrorism program called ""God's Eye,"" that can turn any technological device into a weapon. Torretto must reconvene with his team to stop Shaw and retrieve the God's Eye program while caught in a power struggle between the terrorist and the United States government.",7.2,"$316,986,481"
13,Amistad,Steven Spielberg,David Franzoni,USA,"Morgan Freeman, Nigel Hawthorne, Anthony Hopkins, Djimon Hounsou","Amistad is the name of a slave ship traveling from Cuba to the U.S. in 1839. It is carrying a cargo of Africans who have been sold into slavery in Cuba, taken on board, and chained in the cargo hold of the ship. As the ship is crossing from Cuba to the U.S., Cinque, who was a tribal leader in Africa, leads a mutiny and takes over the ship. They continue to sail, hoping to find help when they land. Instead, when they reach the United States, they are imprisoned as runaway slaves. They don't speak a word of English, and it seems like they are doomed to die for killing their captors when an abolitionist lawyer decides to take their case, arguing that they were free citizens of another country and not slaves at all. The case finally gets to the Supreme Court, where John Quincy Adams makes an impassioned and eloquent plea for their release.",7.3,N/A
14,H-8...,Nikola Tanhofer,"Zvonimir Berkovic (idea), Zvonimir Berkovic, Tomislav Butorac, Nikola Tanhofer (idea)",Yugoslavia,"Boris Buzancic, Djurdja Ivezic, Antun Vrdoljak, Vanja Drach","A bus and a truck are moving towards each other along a two-way traffic highway on a rainy day. At the very beginning we learn that a reckless driver of another car will cause them to collide while trying to pass the bus; we even learn what seats will spell doom for their occupants. The rest of the movie follows two streams of events on the bus and on the truck, getting us to know and like a wide variety of characters, wondering which ones will end up being casualties and holding breath for our favourites. The epilogue brings some more surprises...",8.5,N/A
15,Anaconda,Luis Llosa,"Hans Bauer, Jim Cash, Jack Epps Jr.",USA,"Jennifer Lopez, Ice Cube, Jon Voight, Eric Stoltz","When a documentary crew traveling through the Amazon jungle, picks up a stranded man, they are unaware of the trouble that will occur. This stranger's hobby is to capture the giant Anaconda snake, and plans to continue targeting it on their boat, by any means necessary.",4.8,N/A
16,District 9,Neill Blomkamp,"Neill Blomkamp, Terri Tatchell","South Africa, USA, New Zealand, Canada","Sharlto Copley, Jason Cope, Nathalie Boltt, Sylvaine Strike","In 1982, a massive star ship bearing a bedraggled alien population, nicknamed ""The Prawns,"" appeared over Johannesburg, South Africa. Twenty-eight years later, the initial welcome by the human population has faded. The refugee camp where the aliens were located has deteriorated into a militarized ghetto called District 9, where they are confined and exploited in squalor. In 2010, the munitions corporation, Multi-National United, is contracted to forcibly evict the population with operative Wikus van der Merwe in charge. In this operation, Wikus is exposed to a strange alien chemical and must rely on the help of his only two new 'Prawn' friends.",7.9,"$115,646,235"
17,"A Cool, Dry Place",John N. Smith,"Michael Grant Jaffe (novel), Matthew McDuffie (screenplay)",USA,"Vince Vaughn, Monica Potter, Joey Lauren Adams, Bobby Moat","A single father balances his work as an attorney with the care of his five year old son and his work as a high school basketball coach in rural Kansas, where he moved after his wife abandoned him in Chicago. Just as he starts to develop a new relationship with a veterinarian's assistant, his ex-wife suddenly reappears and wants to re-assert herself in her husband and son's life. On top of the romantic conflict, he is also suddenly presented with the opportunity of a lifetime to join a major firm in Dallas.",6.2,N/A
18,10.000 Km,Carlos Marques-Marcet,"Carlos Marques-Marcet, Clara Roquet, Natalia Tena (additional dialogue), David Verdaguer (additional dialogue)",Spain,"Natalia Tena, David Verdaguer, Sirius Flatz","Alex moves to Los Angeles for a new job; Sergi stays in Barcelona. They love each other, but maintaining a relationship through technology proves challenging.",6.7,N/A
19,American History X,Tony Kaye,David McKenna,USA,"Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien","Derek Vineyard is paroled after serving 3 years in prison for brutally killing two black men who tried to break into/steal his truck. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",8.5,N/A
20,11.22.63,N/A,N/A,USA,"James Franco, Sarah Gadon, George MacKay, Chris Cooper","A teacher discovers a time portal that leads to October 21st, 1960 and goes on a quest to try and prevent the assassination of John F. Kennedy, which is complicated by the presence of Lee Harvey Oswald and the fact that he's falling in love with the past itself.",8.2,
21,Analyze This,Harold Ramis,"Kenneth Lonergan (story), Peter Tolan (story), Peter Tolan (screenplay), Harold Ramis (screenplay), Kenneth Lonergan (screenplay)","USA, Australia","Robert De Niro, Billy Crystal, Lisa Kudrow, Chazz Palminteri","Ben Sobol, Psychiatrist, has a few problems: His son spies on his patients when they open up their heart, his parents don't want to attend his upcoming wedding and his patients' problems don't challenge him at all. Paul Vitti, Godfather, has a few problems as well: Sudden anxiety attacks in public, a certain disability to kill people and his best part ceasing service when needed. One day, Ben unfortunately crashes into one of Vitti's cars. The exchange of Ben's business card is followed by a business visit of Don Paul Vitti himself, who wants to be free of inner conflict within two weeks, before all the Mafia Dons meet. Now, Ben Sobol feels somewhat challenged, as his wedding is soon, his only patient keeps him busy by regarding Ben's duty as a 24 hour standby and the feds keep forcing him to spy on Paul Vitti. And how do you treat a patient who usually solves problems with a gun?",6.7,N/A
22,12 Angry Men,Sidney Lumet,"Reginald Rose (story), Reginald Rose (screenplay)",USA,"Martin Balsam, John Fiedler, Lee J. Cobb, E.G. Marshall","The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young man is guilty or innocent of murdering his father. What begins as an open-and-shut case of murder soon becomes a detective story that presents a succession of clues creating doubt, and a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other. Based on the play, all of the action takes place on the stage of the jury room.",8.9,N/A
23,Almost Famous,Cameron Crowe,Cameron Crowe,USA,"Billy Crudup, Frances McDormand, Kate Hudson, Jason Lee","William Miller is a 15-year-old kid hired by Rolling Stone magazine to tour with and write about Stillwater, an up and coming rock band. This wonderfully witty coming-of-age film follows William as he falls face first to confront life, love, and lingo.",7.9,"$31,716,715"
24,Apollo 13,Ron Howard,"Jim Lovell (book), Jeffrey Kluger (book), William Broyles Jr. (screenplay), Al Reinert (screenplay)",USA,"Tom Hanks, Bill Paxton, Kevin Bacon, Gary Sinise","Based on the true story of the ill-fated 13th Apollo mission bound for the moon. Astronauts Lovell, Haise and Swigert were scheduled to fly Apollo 14, but are moved up to 13. It's 1970, and The US has already achieved their lunar landing goal, so there's little interest in this ""routine"" flight.. until that is, things go very wrong, and prospects of a safe return fade.",7.6,N/A
25,American Psycho,Mary Harron,"Bret Easton Ellis (novel), Mary Harron (screenplay), Guinevere Turner (screenplay)","USA, Canada","Christian Bale, Justin Theroux, Josh Lucas, Bill Sage","Patrick Bateman is handsome, well educated and intelligent. He is twenty-seven and living his own American dream. He works by day on Wall Street, earning a fortune to complement the one he was born with. At night he descends into madness, as he experiments with fear and violence.",7.6,N/A
26,14 Blades,Daniel Lee,"Daniel Lee (screenplay), Abe Kwong (screenplay), Tin Shu Mak (screenplay), Ho-Leung Lau (screenplay), Daniel Lee (original story), Siu Cheung Chan","Hong Kong, China, Singapore","Donnie Yen, Wei Zhao, Chun Wu, Sammo Kam-Bo Hung",A kung fu thriller set during the Ming Dynasty and centered on a secret service agent (Donnie Yen) in the emperor's court who is betrayed and then hunted by his colleagues.,6.3,N/A
27,A.I. Artificial Intelligence,Steven Spielberg,"Brian Aldiss (short story ""Supertoys Last All Summer Long""), Ian Watson (screen story), Steven Spielberg (screenplay)","USA, UK","Haley Joel Osment, Frances O'Connor, Sam Robards, Jake Thomas","In the not-so-far future the polar ice caps have melted and the resulting rise of the ocean waters has drowned all the coastal cities of the world. Withdrawn to the interior of the continents, the human race keeps advancing, reaching the point of creating realistic robots (called mechas) to serve them. One of the mecha-producing companies builds David, an artificial kid which is the first to have real feelings, especially a never-ending love for his ""mother"", Monica. Monica is the woman who adopted him as a substitute for her real son, who remains in cryo-stasis, stricken by an incurable disease. David is living happily with Monica and her husband, but when their real son returns home after a cure is discovered, his life changes dramatically.",7.2,N/A
28,15 Minutes,John Herzfeld,John Herzfeld,"USA, Germany","Robert De Niro, Edward Burns, Kelsey Grammer, Avery Brooks","When Eastern European criminals Oleg and Emil come to New York City to pick up their share of a heist score, Oleg steals a video camera and starts filming their activities, both legal and illegal. When they learn how the American media circus can make a remorseless killer look like the victim and make them rich, they target media-savvy NYPD Homicide Detective Eddie Flemming and media-naive FDNY Fire Marshal Jordy Warsaw, the cops investigating their murder and torching of their former criminal partner, filming everything to sell to the local tabloid TV show ""Top Story.""",6.1,"$24,160,216"
29,Ali,Michael Mann,"Gregory Allen Howard (story), Stephen J. Rivele (screenplay), Christopher Wilkinson (screenplay), Eric Roth (screenplay), Michael Mann (screenplay)",USA,"Will Smith, Jamie Foxx, Jon Voight, Mario Van Peebles","In 1964, a brash new pro boxer, fresh from his olympic gold medal victory, explodes on to the scene, Cassius Clay. Bold and outspoken, he cuts an entirely new image for African Americans in sport with his proud public self confidence with his unapologetic belief that he is the greatest boxer of all time. To his credit, he sets out to prove that with his highly agile and forceful style soon making him a formidable boxer who soon claims the heavyweight championship. His personal life is no less noteworthy with his allegiance to the Nation of Islam, his friendship with the controversial Malcolm X and his abandonment of his slave name in favour of Muhammad Ali stirring up controversy. Yet, at the top of his game, both Ali's personal and professional lives face the ultimate test with the military draft rules are changed, making him eligible for military induction during the Vietnam War. Despite the fact that he could easily agree to a sweetheart deal that would have meant an easy tour of duty for himself, Ali refuses to submit on principle to cooperate in an unjust war for a racist nation that treated his people so poorly. The cost of that stand is high as he finds himself unable to legally box in his own country while his case is contested in court. What follows is a battle for a man who would sacrifice so much for what he believes in and a comeback that would cement his legend as one of the great sports figures of all time.",6.8,"$58,183,966"
30,Detyam do 16...,Andrey Kavun,Oleg Malovichko,Russia,"Rodion Dolgirev, Mariya Filshtinskaya, Aleksey Gorbunov, Lyanka Gryu","Cyrus, Leia, Dasha, Max are still students. They have everything - for the first time. The first words of love, first sex, first joint dreams, first mistakes, first disappointments and first discoveries.",6.3,N/A
