,movies_ratings
0,"9,2"
1,"9,1"
2,"9,0"
3,"9,0"
4,"8,9"
5,"8,9"
6,"8,9"
7,"8,8"
8,"8,8"
9,"8,8"
10,"8,8"
11,"8,8"
12,"8,7"
13,"8,7"
14,"8,7"
15,"8,6"
16,"8,6"
17,"8,6"
18,"8,6"
19,"8,6"
20,"8,6"
21,"8,6"
22,"8,6"
23,"8,6"
24,"8,6"
25,"8,5"
26,"8,5"
27,"8,5"
28,"8,5"
29,"8,5"
30,"8,5"
31,"8,5"
32,"8,5"
33,"8,5"
34,"8,5"
35,"8,5"
36,"8,5"
37,"8,5"
38,"8,5"
39,"8,5"
40,"8,5"
41,"8,5"
42,"8,5"
43,"8,5"
44,"8,5"
45,"8,5"
46,"8,5"
47,"8,5"
48,"8,4"
49,"8,4"
50,"8,4"
51,"8,4"
52,"8,4"
53,"8,4"
54,"8,4"
55,"8,4"
56,"8,4"
57,"8,4"
58,"8,4"
59,"8,4"
60,"8,4"
61,"8,4"
62,"8,4"
63,"8,4"
64,"8,4"
65,"8,4"
66,"8,4"
67,"8,4"
68,"8,4"
69,"8,3"
70,"8,3"
71,"8,3"
72,"8,3"
73,"8,3"
74,"8,3"
75,"8,3"
76,"8,3"
77,"8,3"
78,"8,3"
79,"8,3"
80,"8,3"
81,"8,3"
82,"8,3"
83,"8,3"
84,"8,3"
85,"8,3"
86,"8,3"
87,"8,3"
88,"8,3"
89,"8,3"
90,"8,3"
91,"8,3"
92,"8,3"
93,"8,3"
94,"8,3"
95,"8,3"
96,"8,3"
97,"8,3"
98,"8,3"
99,"8,2"
100,"8,2"
101,"8,2"
102,"8,2"
103,"8,2"
104,"8,2"
105,"8,2"
106,"8,2"
107,"8,2"
108,"8,2"
109,"8,2"
110,"8,2"
111,"8,2"
112,"8,2"
113,"8,2"
114,"8,2"
115,"8,2"
116,"8,2"
117,"8,2"
118,"8,2"
119,"8,2"
120,"8,2"
121,"8,2"
122,"8,2"
123,"8,2"
124,"8,2"
125,"8,2"
126,"8,2"
127,"8,2"
128,"8,2"
129,"8,2"
130,"8,2"
131,"8,2"
132,"8,2"
133,"8,2"
134,"8,2"
135,"8,2"
136,"8,2"
137,"8,2"
138,"8,2"
139,"8,2"
140,"8,2"
141,"8,2"
142,"8,2"
143,"8,2"
144,"8,1"
145,"8,1"
146,"8,1"
147,"8,1"
148,"8,1"
149,"8,1"
150,"8,1"
151,"8,1"
152,"8,1"
153,"8,1"
154,"8,1"
155,"8,1"
156,"8,1"
157,"8,1"
158,"8,1"
159,"8,1"
160,"8,1"
161,"8,1"
162,"8,1"
163,"8,1"
164,"8,1"
165,"8,1"
166,"8,1"
167,"8,1"
168,"8,1"
169,"8,1"
170,"8,1"
171,"8,1"
172,"8,1"
173,"8,1"
174,"8,1"
175,"8,1"
176,"8,1"
177,"8,1"
178,"8,1"
179,"8,1"
180,"8,1"
181,"8,1"
182,"8,1"
183,"8,1"
184,"8,1"
185,"8,1"
186,"8,1"
187,"8,1"
188,"8,1"
189,"8,1"
190,"8,1"
191,"8,1"
192,"8,1"
193,"8,1"
194,"8,1"
195,"8,1"
196,"8,1"
197,"8,1"
198,"8,1"
199,"8,1"
200,"8,1"
201,"8,1"
202,"8,1"
203,"8,1"
204,"8,1"
205,"8,1"
206,"8,1"
207,"8,1"
208,"8,1"
209,"8,1"
210,"8,1"
211,"8,1"
212,"8,1"
213,"8,1"
214,"8,1"
215,"8,1"
216,"8,1"
217,"8,0"
218,"8,0"
219,"8,0"
220,"8,0"
221,"8,0"
222,"8,0"
223,"8,0"
224,"8,0"
225,"8,0"
226,"8,0"
227,"8,0"
228,"8,0"
229,"8,0"
230,"8,0"
231,"8,0"
232,"8,0"
233,"8,0"
234,"8,0"
235,"8,0"
236,"8,0"
237,"8,0"
238,"8,0"
239,"8,0"
240,"8,0"
241,"8,0"
242,"8,0"
243,"8,0"
244,"8,0"
245,"8,0"
246,"8,0"
247,"8,0"
248,"8,0"
249,"8,0"
250,7.7
251,7.5
252,8.5
253,7.8
254,7.2
255,7.3
256,5.8
257,7.8
258,6.2
259,6.2
260,7.8
261,7.5
262,7.2
263,7.3
264,8.5
265,4.8
266,7.9
267,6.2
268,6.7
269,8.5
270,8.2
271,6.7
272,8.9
273,7.9
274,7.6
275,7.6
276,6.3
277,7.2
278,6.1
279,6.8
280,6.3
281,6.4
282,6.3
283,8.2
284,4.3
285,5.6
286,6.7
287,6.9
288,5.8
289,7.3
290,7.3
291,7.0
292,8.2
293,5.9
294,6.4
295,5.9
296,8.3
297,5.0
298,6.6
299,7.4
300,4.4
301,6.3
302,8.3
303,6.3
304,5.8
305,7.2
306,5.0
307,6.2
308,5.6
309,6.7
310,5.7
311,7.4
312,7.1
313,4.7
314,6.5
315,6.4
316,6.6
317,4.2
318,7.1
319,6.8
320,5.6
321,6.5
322,6.2
323,7.8
324,3.0
325,6.4
326,6.5
327,7.5
328,5.6
329,6.1
330,2.6
331,6.3
332,5.7
333,4.8
334,4.3
335,6.8
336,6.5
337,7.4
338,4.7
339,7.7
340,6.2
341,5.9
342,6.3
343,5.5
344,6.9
345,5.7
346,6.5
347,5.2
348,5.6
349,6.5
350,6.0
351,6.7
352,6.4
353,5.4
354,6.6
355,7.9
356,5.9
357,6.8
358,6.7
359,5.4
360,7.9
361,6.3
362,5.9
363,5.2
364,6.3
365,6.0
366,4.6
367,5.2
368,6.5
369,7.7
370,7.8
371,7.0
372,7.3
373,6.0
374,8.2
375,2.5
376,7.4
377,6.8
378,6.9
379,6.4
380,7.5
381,7.6
382,3.9
383,6.5
384,8.6
385,6.4
386,6.4
387,7.7
388,6.8
389,7.8
390,7.2
391,5.6
392,5.9
393,4.9
394,7.6
395,6.3
396,7.0
397,5.6
398,5.0
399,6.6
400,4.9
401,7.0
402,5.7
403,6.5
404,5.0
405,8.0
406,4.5
407,4.7
408,7.0
409,5.6
410,6.6
411,6.8
412,6.9
413,5.5
414,8.1
415,6.7
416,6.7
417,5.7
418,6.1
419,5.6
420,8.3
421,2.9
422,7.0
423,7.7
424,5.9
425,8.0
426,5.8
427,6.2
428,8.5
429,7.3
430,8.0
431,6.6
432,8.0
433,7.6
434,7.5
435,7.1
436,5.0
437,6.7
438,4.3
439,7.5
440,5.0
441,5.3
442,4.8
443,5.6
444,8.9
445,6.8
446,7.1
447,6.6
448,7.7
449,6.5
450,5.7
451,5.8
452,4.9
453,5.1
454,7.1
455,7.3
456,6.1
457,8.2
458,6.6
459,7.2
460,5.8
461,6.9
462,6.5
463,6.9
464,3.3
465,6.6
466,5.0
467,5.5
468,7.7
469,7.8
470,6.2
471,7.2
472,7.0
473,5.7
474,7.6
475,4.7
476,7.1
477,4.8
478,7.8
479,2.7
480,8.2
481,8.1
482,7.1
483,7.0
484,6.5
485,4.9
486,4.6
487,5.9
488,5.9
489,5.0
490,8.0
491,5.8
492,7.3
493,4.9
494,6.4
495,7.8
496,5.0
497,3.4
498,7.3
499,6.5
500,7.7
501,6.6
502,5.0
503,7.3
504,7.2
505,7.2
506,5.0
507,6.4
508,7.5
509,7.0
510,5.2
511,5.5
512,6.6
513,6.3
514,5.0
515,5.6
516,5.8
517,7.1
518,7.4
519,6.9
520,5.0
521,6.9
522,6.7
523,6.2
524,6.1
525,7.4
526,3.6
527,6.4
528,6.0
529,6.1
530,7.5
531,7.6
532,7.0
533,7.5
534,5.1
535,7.7
536,5.0
537,5.4
538,8.5
539,4.9
540,5.0
541,5.5
542,7.0
543,6.1
