,movies_titles,directeur,scenaristes,pays,vedettes,synopsis,notes,budget
0,Beats,Chris Robinson,Miles Orion Feldsott,USA,"Khalil Everage, Evan J. Simpson, Ashley Jackson, Ahmad Nicholas Ferguson","A reclusive teenage musical prodigy forms an unlikely friendship with a down-on-his-luck high school security guard. United by their mutual love of hiphop, they confront the demons of their past and try to break into Chicago's music scene.",6.4,N/A
1,Relic,Natalie Erika James,"Natalie Erika James, Christian White","Australia, USA","Bella Heathcote, Emily Mortimer, Robyn Nevin, Chris Bunton","A daughter, mother and grandmother are haunted by a manifestation of dementia that consumes their family's home.",6.8,N/A
2,John Lewis: Good Trouble,Dawn Porter,N/A,USA,John Lewis,"The film explores Georgia representative's, 60-plus years of social activism and legislative action on civil rights, voting rights, gun control, health care reform, and immigration.",N/A,N/A
3,Toothfairy 2,Louisa Warren,Tom Jolliffe,UK,"Jake Watkins, Katie McKenna, Chelsea Greenwood, AJ Blackwell","The Tooth Fairy is back. 15 years after the events of the first movie, Corey, now grown up but mentally scarred has gone to a class reunion. However, the Tooth Fairy is back, and this time - You better have flossed properly.",N/A,N/A
4,Unhinged,Don Gronquist,"Don Gronquist, Reagan Ramsey",USA,"Laurel Munson, Janet Penner, Sara Ansley, Virginia Settle","College students, Terry, Nancy and Gloria are on their way to a rock concert, driving through a torrential rainstorm... only to crash their car, badly injuring one of them. Seeking shelter and aid they come across a house occupied by a man-hating mother and her daughter... our trio soon wish they hadn't.",5.0,N/A
5,The Sandman,Peter Sullivan,Peter Sullivan,USA,"Haylie Duff, Tobin Bell, Shaun Sipos, Shae Smolik","A little girl with formidable powers imagines into existence the Sandman, a terrible monster from her nightmares that brings harm to anyone who wants to hurt her.",4.4,N/A
6,The Broken Hearts Gallery,Natalie Krinsky,Natalie Krinsky (screenplay),USA,"Dacre Montgomery, Molly Gordon, Bernadette Peters, Suki Waterhouse","After a break up, a young woman decides to start a gallery where people can leave trinkets from past relationships.",N/A,N/A
7,Saint Maud,Rose Glass,Rose Glass,UK,"Morfydd Clark, Jennifer Ehle, Lily Knight, Lily Frazer",Follows a pious nurse who becomes dangerously obsessed with saving the soul of her dying patient.,6.8,N/A
8,Mulan,"Tony Bancroft, Barry Cook","Robert D. San Souci (based on a story by), Rita Hsiao (screenplay by), Chris Sanders (screenplay by), Philip LaZebnik (screenplay by), Raymond Singer (screenplay by), Eugenia Bostwick-Singer (screenplay by), Dean DeBlois (story co-head), John Sanford (story), Chris Williams (story), Tim Hodge (story), Julius Aguimatang (story), Burny Mattinson (story), Lorna Cook (story), Barry Johnson (story), Thom Enriquez (story), Ed Gombert (story), Joe Grant (story), Floyd Norman (story), Linda Woolverton (additional story material), Jodi Ann Johnson (additional story material), Alan Ormsby (additional story material), David Reynolds (additional story material), Don Dougherty (additional story material), Jorgen Klubien (additional story material), Denis Rich (additional story material), Joe Ekers (additional story material), Theodore Newton (additional story material), Larry Scholl (additional story material), Daan Jippes (additional story material), Frank Nissen (additional story material), Jeff Snow (additional story material)",USA,"Miguel Ferrer, Harvey Fierstein, Freda Foh Shen, June Foray","This retelling of the old Chinese folktale is about the story of a young Chinese maiden who learns that her weakened and lame father is to be called up into the army in order to fight the invading Huns. Knowing that he would never survive the rigours of war in his state, she decides to disguise herself and join in his place. Unknown to her, her ancestors are aware of this and to prevent it, they order a tiny disgraced dragon, Mushu to join her in order to force her to abandon her plan. He agrees, but when he meets Mulan, he learns that she cannot be dissuaded and so decides to help her in the perilous times ahead.",7.6,N/A
9,Radioactive,Marjane Satrapi,"Jack Thorne (screenplay by), Lauren Redniss (based on the book by)","UK, Hungary, China","Rosamund Pike, Yvette Feuer, Sam Riley, Mirjam Novak","A story of the scientific and romantic passions of Marie Sklodowska-Curie (Polish scientist) and Pierre Curie, and the reverberation of their discoveries throughout the 20th century.",5.9,N/A
