,movies_titles,movies_links,budget,synopsis,country,directeur,scenaristes,vedettes,titres,rating
1,Les évadés,https://www.imdb.com//title/tt0111161/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_1,25000000,"Chronicles the experiences of a formerly successful banker as a prisoner in the gloomy jailhouse of Shawshank after being found guilty of a crime he did not commit. The film portrays the man's unique way of dealing with his new, torturous life; along the way he befriends a number of fellow prisoners, most notably a wise long-term inmate named Red.",['USA'],['Frank Darabont '],"['Stephen King (short story ""Rita Hayworth and Shawshank Redemption"")', ' Frank Darabont (screenplay)    ']","['Tim Robbins', ' Morgan Freeman', ' Bob Gunton |']","['Tim Robbins', ' Morgan Freeman', ' Bob Gunton |']","9,1"
2,Le parrain,https://www.imdb.com//title/tt0068646/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_2,6000000,"The Godfather ""Don"" Vito Corleone is the head of the Corleone mafia family in New York. He is at the event of his daughter's wedding. Michael, Vito's youngest son and a decorated WW II Marine is also present at the wedding. Michael seems to be uninterested in being a part of the family business. Vito is a powerful man, and is kind to all those who give him respect but is ruthless against those who do not. But when a powerful and treacherous rival wants to sell drugs and needs the Don's influence for the same, Vito refuses to do it. What follows is a clash between Vito's fading old values and the new ways which may cause Michael to do the thing he was most reluctant in doing and wage a mob war against all the other mafia families which could tear the Corleone family apart.",['USA'],['Francis Ford Coppola '],"['Mario Puzo (screenplay by)', ' Francis Ford Coppola (screenplay by)            |']","['Marlon Brando', ' Al Pacino', ' James Caan |']","['Marlon Brando', ' Al Pacino', ' James Caan |']","9,0"
3,"Le parrain, 2ème partie",https://www.imdb.com//title/tt0071562/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_3,13000000,"The continuing saga of the Corleone crime family tells the story of a young Vito Corleone growing up in Sicily and in 1910s New York; and follows Michael Corleone in the 1950s as he attempts to expand the family business into Las Vegas, Hollywood and Cuba.",['USA'],['Francis Ford Coppola '],"['Francis Ford Coppola (screenplay by)', ' Mario Puzo (screenplay by)            |']","['Al Pacino', ' Robert De Niro', ' Robert Duvall |']","['Al Pacino', ' Robert De Niro', ' Robert Duvall |']","9,0"
4,The Dark Knight: Le chevalier noir,https://www.imdb.com//title/tt0468569/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_4,185000000,"Set within a year after the events of Batman Begins (2005), Batman, Lieutenant James Gordon, and new District Attorney Harvey Dent successfully begin to round up the criminals that plague Gotham City, until a mysterious and sadistic criminal mastermind known only as ""The Joker"" appears in Gotham, creating a new wave of chaos. Batman's struggle against The Joker becomes deeply personal, forcing him to ""confront everything he believes"" and improve his technology to stop him. A love triangle develops between Bruce Wayne, Dent, and Rachel Dawes.","['USA', 'UK']",['Christopher Nolan '],"['Jonathan Nolan (screenplay)', ' Christopher Nolan (screenplay)            |']","['Christian Bale', ' Heath Ledger', ' Aaron Eckhart |']","['Christian Bale', ' Heath Ledger', ' Aaron Eckhart |']","8,9"
5,12 hommes en colère,https://www.imdb.com//title/tt0050083/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_5,350000,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young man is guilty or innocent of murdering his father. What begins as an open-and-shut case of murder soon becomes a detective story that presents a succession of clues creating doubt, and a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other. Based on the play, all of the action takes place on the stage of the jury room.",['USA'],['Sidney Lumet '],"['Reginald Rose (story)', ' Reginald Rose (screenplay)    ']","['Henry Fonda', ' Lee J. Cobb', ' Martin Balsam |']","['Henry Fonda', ' Lee J. Cobb', ' Martin Balsam |']","8,9"
6,La liste de Schindler,https://www.imdb.com//title/tt0108052/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_6,22000000,"Oskar Schindler is a vain and greedy German businessman who becomes an unlikely humanitarian amid the barbaric German Nazi reign when he feels compelled to turn his factory into a refuge for Jews. Based on the true story of Oskar Schindler who managed to save about 1100 Jews from being gassed at the Auschwitz concentration camp, it is a testament to the good in all of us.",['USA'],['Steven Spielberg '],"['Thomas Keneally (book)', ' Steven Zaillian (screenplay)    ']","['Liam Neeson', ' Ralph Fiennes', ' Ben Kingsley |']","['Liam Neeson', ' Ralph Fiennes', ' Ben Kingsley |']","8,9"
7,Le seigneur des anneaux: Le retour du roi,https://www.imdb.com//title/tt0167260/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_7,94000000,"The final confrontation between the forces of good and evil fighting for control of the future of Middle-earth. Frodo and Sam reach Mordor in their quest to destroy the One Ring, while Aragorn leads the forces of good against Sauron's evil army at the stone city of Minas Tirith.",['New Zealand'],['Peter Jackson '],"['J.R.R. Tolkien (novel)', ' Fran Walsh (screenplay)            |']","['Elijah Wood', ' Viggo Mortensen', ' Ian McKellen |']","['Elijah Wood', ' Viggo Mortensen', ' Ian McKellen |']","8,8"
8,Pulp Fiction,https://www.imdb.com//title/tt0110912/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_8,8000000,"Jules Winnfield (Samuel L. Jackson) and Vincent Vega (John Travolta) are two hit men who are out to retrieve a suitcase stolen from their employer, mob boss Marsellus Wallace (Ving Rhames). Wallace has also asked Vincent to take his wife Mia (Uma Thurman) out a few days later when Wallace himself will be out of town. Butch Coolidge (Bruce Willis) is an aging boxer who is paid by Wallace to lose his fight. The lives of these seemingly unrelated people are woven together comprising of a series of funny, bizarre and uncalled-for incidents.",['USA'],['Quentin Tarantino '],"['Quentin Tarantino (stories)', ' Roger Avary (stories)            |']","['John Travolta', ' Uma Thurman', ' Samuel L. Jackson |']","['John Travolta', ' Uma Thurman', ' Samuel L. Jackson |']","8,8"
9,"Le bon, la brute et le truand",https://www.imdb.com//title/tt0060196/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_9,1200000,"Blondie (The Good) (Clint Eastwood) is a professional gunslinger who is out trying to earn a few dollars. Angel Eyes (The Bad) (Lee Van Cleef) is a hitman who always commits to a task and sees it through, as long as he is paid to do so. And Tuco (The Ugly) (Eli Wallach) is a wanted outlaw trying to take care of his own hide. Tuco and Blondie share a partnership together making money off of Tuco's bounty, but when Blondie unties the partnership, Tuco tries to hunt down Blondie. When Blondie and Tuco come across a horse carriage loaded with dead bodies, they soon learn from the only survivor, Bill Carson (Antonio Casale), that he and a few other men have buried a stash of gold in a cemetery. Unfortunately, Carson dies and Tuco only finds out the name of the cemetery, while Blondie finds out the name on the grave. Now the two must keep each other alive in order to find the gold. Angel Eyes (who had been looking for Bill Carson) discovers that Tuco and Blondie met with Carson and knows ...","['Italy', 'Spain', 'West Germany']",['Sergio Leone '],"['Luciano Vincenzoni (story)', ' Sergio Leone (story)            |']","['Clint Eastwood', ' Eli Wallach', ' Lee Van Cleef |']","['Clint Eastwood', ' Eli Wallach', ' Lee Van Cleef |']","8,8"
10,Le seigneur des anneaux: La communauté de l'anneau,https://www.imdb.com//title/tt0120737/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_10,93000000,"An ancient Ring thought lost for centuries has been found, and through a strange twist of fate has been given to a small Hobbit named Frodo. When Gandalf discovers the Ring is in fact the One Ring of the Dark Lord Sauron, Frodo must make an epic quest to the Cracks of Doom in order to destroy it. However, he does not go alone. He is joined by Gandalf, Legolas the elf, Gimli the Dwarf, Aragorn, Boromir, and his three Hobbit friends Merry, Pippin, and Samwise. Through mountains, snow, darkness, forests, rivers and plains, facing evil and danger at every corner the Fellowship of the Ring must go. Their quest to destroy the One Ring is the only hope for the end of the Dark Lords reign.",['New Zealand'],['Peter Jackson '],"['J.R.R. Tolkien (novel)', ' Fran Walsh (screenplay)            |']","['Elijah Wood', ' Ian McKellen', ' Orlando Bloom |']","['Elijah Wood', ' Ian McKellen', ' Orlando Bloom |']","8,8"
